#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
cum.salon,suspend,FALSE,FALSE,,FALSE
cunnyborea.top,suspend,FALSE,FALSE,,FALSE
bae.st,suspend,FALSE,FALSE,,FALSE
baraag.net,suspend,FALSE,FALSE,,FALSE
beefyboys.win,suspend,FALSE,FALSE,,FALSE
chudbuds.lol,suspend,FALSE,FALSE,,FALSE
clubcyberia.co,suspend,FALSE,FALSE,,FALSE
detroitriotcity.com,suspend,FALSE,FALSE,,FALSE
eveningzoo.club,suspend,FALSE,FALSE,,FALSE
freecumextremist.com,suspend,FALSE,FALSE,,FALSE
freespeechextremist.com,suspend,FALSE,FALSE,,FALSE
gleasonator.com,suspend,FALSE,FALSE,,FALSE
kiwifarms.cc,suspend,FALSE,FALSE,,FALSE
misskey-forkbomb.cf,suspend,FALSE,FALSE,,FALSE
mugicha.club,suspend,FALSE,FALSE,,FALSE
nicecrew.digital,suspend,FALSE,FALSE,,FALSE
obo.sh,suspend,FALSE,FALSE,,FALSE
pawoo.net,suspend,FALSE,FALSE,,FALSE
poa.st,suspend,FALSE,FALSE,,FALSE
repl.co,suspend,FALSE,FALSE,,FALSE
ryona.agency,suspend,FALSE,FALSE,,FALSE
seal.cafe,suspend,FALSE,FALSE,,FALSE
shitpost.cloud,suspend,FALSE,FALSE,,FALSE
shitposter.club,suspend,FALSE,FALSE,,FALSE
spinster.xyz,suspend,FALSE,FALSE,,FALSE
varishangout.net,suspend,FALSE,FALSE,,FALSE
wolfgirl.bar,suspend,FALSE,FALSE,,FALSE
yggdrasil.social,suspend,FALSE,FALSE,,FALSE
activitypub-troll.cf,suspend,FALSE,FALSE,,FALSE
aethy.com,suspend,FALSE,FALSE,,FALSE
asbestos.cafe,suspend,FALSE,FALSE,,FALSE
breastmilk.club,suspend,FALSE,FALSE,,FALSE
brighteon.social,suspend,FALSE,FALSE,,FALSE
childlove.space,suspend,FALSE,FALSE,,FALSE
childlove.su,suspend,FALSE,FALSE,,FALSE
eientei.org,suspend,FALSE,FALSE,,FALSE
freak.university,suspend,FALSE,FALSE,,FALSE
freeatlantis.com,suspend,FALSE,FALSE,,FALSE
gameliberty.club,suspend,FALSE,FALSE,,FALSE
genderheretics.xyz,suspend,FALSE,FALSE,,FALSE
iddqd.social,suspend,FALSE,FALSE,,FALSE
mastinator.com,suspend,FALSE,FALSE,,FALSE
noagendasocial.com,silence,FALSE,FALSE,,FALSE
outpoa.st,suspend,FALSE,FALSE,,FALSE
poster.place,suspend,FALSE,FALSE,,FALSE
rdrama.cc,suspend,FALSE,FALSE,,FALSE
shortstackran.ch,suspend,FALSE,FALSE,,FALSE
shortstacksran.ch,suspend,FALSE,FALSE,,FALSE
sneed.social,suspend,FALSE,FALSE,,FALSE
social.cutefunny.net,suspend,FALSE,FALSE,,FALSE
5dollah.click,suspend,FALSE,FALSE,,FALSE
activitypub-proxy.cf,suspend,FALSE,FALSE,,FALSE
annihilation.social,suspend,FALSE,FALSE,,FALSE
cannibal.cafe,suspend,FALSE,FALSE,,FALSE
clew.lol,suspend,FALSE,FALSE,,FALSE
cunnyborea.space,suspend,FALSE,FALSE,,FALSE
decayable.ink,suspend,FALSE,FALSE,,FALSE
gearlandia.haus,suspend,FALSE,FALSE,,FALSE
kurosawa.moe,suspend,FALSE,FALSE,,FALSE
leafposter.club,suspend,FALSE,FALSE,,FALSE
lolison.top,suspend,FALSE,FALSE,,FALSE
mapsupport.de,suspend,FALSE,FALSE,,FALSE
masochi.st,suspend,FALSE,FALSE,,FALSE
mirr0r.city,suspend,FALSE,FALSE,,FALSE
mostr.pub,suspend,FALSE,FALSE,,FALSE
nnia.space,suspend,FALSE,FALSE,,FALSE
noauthority.social,suspend,FALSE,FALSE,,FALSE
norwoodzero.net,suspend,FALSE,FALSE,,FALSE
pettanko.art,suspend,FALSE,FALSE,,FALSE
pieville.net,suspend,FALSE,FALSE,,FALSE
pleroma.nobodyhasthe.biz,suspend,FALSE,FALSE,,FALSE
rape.pet,suspend,FALSE,FALSE,,FALSE
rojogato.com,suspend,FALSE,FALSE,,FALSE
rot.gives,suspend,FALSE,FALSE,,FALSE
shrimpposter.club,suspend,FALSE,FALSE,,FALSE
skippers-bin.com,suspend,FALSE,FALSE,,FALSE
sleepy.cafe,suspend,FALSE,FALSE,,FALSE
supernets.social,suspend,FALSE,FALSE,,FALSE
tastingtraffic.net,suspend,FALSE,FALSE,,FALSE
truthsocial.co.in,suspend,FALSE,FALSE,,FALSE
youjo.love,suspend,FALSE,FALSE,,FALSE
